x	y
     -5.72	     -5.67
      6.70	      4.40
     -4.79	      3.43
      1.79	      5.21
      6.93	      2.36
      3.20	      6.88
     -0.48	      5.64
      4.96	     -0.31
      0.75	      1.36
      2.99	      3.46
     -0.52	     -4.68
      1.87	     -0.79
     -4.33	     -4.23
      4.99	      2.95
     -0.21	     -6.84
     -6.89	      1.66
     -6.11	      6.02
     -3.39	      6.03
     -3.67	     -1.16
      6.56	      6.53
     -3.11	     -6.96
     -1.56	      1.39
     -0.68	     -1.03
      1.86	     -4.19
      5.31	     -2.50
