x	y
     -6.95	     -6.01
      4.29	      5.00
     -3.43	     -2.56
     -0.82	      6.49
      6.97	      2.25
      2.14	      5.73
     -4.17	      6.43
      5.97	     -4.23
      3.44	     -0.74
      0.10	      4.26
     -1.96	     -3.91
      6.41	     -2.13
     -5.28	     -4.07
      2.90	      2.47
      0.26	     -4.48
     -6.73	      0.89
     -5.85	      3.37
     -6.77	      6.73
     -3.16	      1.39
      6.94	      6.72
     -3.64	     -5.65
     -3.14	      3.40
     -0.52	     -2.35
      4.04	     -4.98
      3.35	     -2.95
