x	y
     -6.85	     -5.93
      6.89	      4.74
     -5.01	      3.22
      1.19	      5.39
      6.73	      2.26
      2.77	      6.85
     -0.85	      5.79
      4.93	     -0.53
      0.77	      1.76
      2.32	      3.35
     -0.52	     -4.57
      2.28	     -1.49
     -3.93	     -3.29
      4.91	      3.13
     -0.59	     -6.98
     -6.95	      1.55
     -6.14	      4.95
     -2.75	      7.00
     -2.79	     -0.81
      6.83	      6.79
     -2.98	     -6.90
     -1.33	      1.49
     -0.04	     -0.99
      1.95	     -3.70
      4.81	     -2.62
