x	y
     -6.98	     -6.82
      4.79	      4.94
     -4.79	     -1.90
     -0.24	      6.25
      6.96	      3.19
      1.77	      6.12
     -3.56	      5.09
      6.50	     -7.00
      3.30	     -1.55
      0.67	      3.76
     -1.40	     -6.98
      6.05	     -3.51
     -5.46	     -4.74
      3.59	      2.97
      0.17	     -2.04
     -6.89	     -1.27
     -6.89	      1.75
     -6.77	      6.75
     -4.36	      0.69
      6.06	      6.74
     -3.51	     -6.01
     -4.31	      3.12
     -2.53	     -4.12
      3.60	     -6.38
      2.66	     -4.53
