x	y
     -6.85	     -6.04
      4.21	      5.04
     -3.53	     -2.59
     -0.61	      6.46
      6.99	      2.34
      2.11	      5.81
     -4.30	      6.28
      6.03	     -4.33
      3.50	     -0.88
      0.13	      4.30
     -1.85	     -4.02
      6.60	     -2.26
     -5.30	     -4.07
      2.94	      2.50
      0.24	     -4.33
     -6.72	      0.87
     -5.89	      3.19
     -6.80	      6.67
     -3.24	      1.38
      7.00	      6.72
     -3.75	     -5.66
     -3.32	      3.46
     -0.77	     -2.29
      4.08	     -5.05
      3.32	     -3.01
