x	y
     -6.83	     -6.69
      4.31	      5.06
     -2.97	     -1.30
     -0.34	      4.92
      5.97	      2.06
      2.01	      5.75
     -2.51	      4.01
      5.23	     -6.54
      1.75	     -0.89
      0.75	      2.11
      0.13	     -5.57
      6.71	     -2.11
     -4.98	     -5.44
      3.01	      3.52
     -0.63	     -0.36
     -5.76	     -2.10
     -6.79	      1.70
     -6.42	      5.33
     -4.95	      0.18
      6.12	      7.00
     -2.20	     -6.47
     -5.08	      2.88
     -2.04	     -3.78
      2.95	     -6.26
      2.01	     -3.21
