x	y
     -6.98	     -6.82
      4.79	      4.94
     -4.78	     -1.89
     -0.24	      6.25
      6.94	      3.19
      1.76	      6.10
     -3.54	      5.08
      6.49	     -6.98
      3.29	     -1.54
      0.67	      3.75
     -1.40	     -7.00
      6.05	     -3.52
     -5.46	     -4.75
      3.59	      2.98
      0.17	     -2.03
     -6.90	     -1.27
     -6.88	      1.74
     -6.77	      6.74
     -4.37	      0.68
      6.05	      6.74
     -3.51	     -6.03
     -4.32	      3.12
     -2.53	     -4.12
      3.60	     -6.39
      2.65	     -4.52
