x	y
     -5.16	     -6.20
      6.61	      4.01
     -4.57	      1.61
      0.04	      6.02
      6.49	      1.27
      3.36	      6.44
     -1.93	      5.40
      5.45	     -0.81
      0.60	      0.51
      2.15	      3.95
     -0.54	     -4.07
      3.26	     -0.66
     -4.14	     -3.20
      4.67	      3.02
     -0.51	     -6.46
     -6.96	      1.36
     -7.00	      4.41
     -3.74	      6.58
     -1.70	     -0.30
      5.78	      6.80
     -2.73	     -6.86
     -1.68	      3.31
      0.90	     -1.47
      1.67	     -4.45
      3.96	     -2.82
