x	y
     -6.59	     -6.84
      4.44	      5.22
     -4.06	     -1.84
     -0.36	      5.69
      6.21	      2.90
      1.86	      5.84
     -2.71	      4.88
      6.01	     -6.22
      2.60	     -1.38
      0.62	      2.97
     -1.25	     -6.00
      6.23	     -3.98
     -5.26	     -5.31
      3.81	      3.14
      0.16	     -1.26
     -6.21	     -1.72
     -6.44	      1.37
     -6.65	      6.26
     -4.60	      0.16
      5.83	      6.88
     -3.52	     -7.00
     -4.58	      3.04
     -2.37	     -4.01
      3.47	     -6.78
      2.42	     -3.96
