x	y
     -5.80	     -6.33
      6.98	      4.07
     -4.90	      2.62
      1.77	      6.10
      6.66	      1.17
      3.67	      6.74
     -0.26	      5.38
      4.92	     -0.04
      0.13	      1.79
      1.83	      3.35
     -0.58	     -4.24
      1.90	     -0.97
     -2.64	     -3.38
      4.38	      2.19
      0.44	     -6.75
     -6.81	      1.83
     -6.41	      6.16
     -3.60	      5.52
     -5.84	     -2.67
      6.10	      6.01
     -3.30	     -6.65
     -1.71	      2.62
     -1.45	     -1.50
      1.74	     -2.98
      6.11	     -2.31
