x	y
     -5.84	     -5.30
      6.96	      3.55
     -4.65	      1.96
      1.39	      6.37
      7.00	      0.93
      3.68	      6.93
     -0.32	      5.21
      4.37	     -0.42
     -0.58	      1.62
      1.78	      3.81
     -0.09	     -4.30
      2.09	     -0.39
     -2.62	     -3.59
      3.98	      1.82
      0.77	     -6.54
     -6.72	      1.72
     -6.59	      5.22
     -3.47	      5.68
     -6.96	     -3.45
      6.45	      6.06
     -3.33	     -6.03
     -2.05	      3.32
     -1.65	     -1.30
      1.66	     -3.19
      6.52	     -2.21
