x	y
     -5.79	     -6.48
      6.94	      4.08
     -4.86	      2.75
      1.77	      6.04
      6.61	      1.20
      3.73	      6.72
     -0.26	      5.40
      5.01	      0.01
      0.24	      1.81
      1.83	      3.29
     -0.57	     -4.27
      1.88	     -0.93
     -2.76	     -3.38
      4.44	      2.26
      0.39	     -6.78
     -6.82	      1.81
     -6.38	      6.30
     -3.62	      5.49
     -5.67	     -2.55
      6.02	      6.08
     -3.29	     -6.74
     -1.66	      2.51
     -1.39	     -1.46
      1.75	     -3.08
      6.04	     -2.33
