x	y
     -5.83	     -5.39
      6.96	      3.60
     -4.68	      2.01
      1.41	      6.35
      6.97	      0.95
      3.68	      6.96
     -0.31	      5.23
      4.42	     -0.37
     -0.52	      1.63
      1.79	      3.77
     -0.09	     -4.25
      2.08	     -0.44
     -2.60	     -3.56
      4.02	      1.84
      0.74	     -6.55
     -6.76	      1.73
     -6.57	      5.30
     -3.48	      5.66
     -6.86	     -3.38
      6.43	      6.04
     -3.32	     -6.08
     -2.02	      3.25
     -1.64	     -1.34
      1.61	     -3.20
      6.48	     -2.22
