x	y
     -5.08	     -6.23
      6.80	      4.01
     -4.62	      1.80
      0.22	      5.92
      6.46	      1.46
      3.26	      6.55
     -1.79	      5.37
      5.29	     -0.79
      0.64	      0.68
      2.29	      3.89
     -0.54	     -4.13
      3.12	     -0.78
     -4.07	     -3.14
      4.71	      3.08
     -0.78	     -6.55
     -6.97	      1.39
     -6.90	      4.47
     -3.59	      6.61
     -1.88	     -0.44
      5.90	      6.85
     -2.77	     -6.77
     -1.65	      3.19
      0.91	     -1.39
      1.71	     -4.34
      4.06	     -2.80
