x	y
     -6.60	     -5.97
      6.82	      4.59
     -4.96	      3.05
      1.07	      5.45
      6.67	      2.21
      2.69	      6.80
     -0.92	      5.82
      4.92	     -0.57
      0.88	      1.78
      2.22	      3.41
     -0.52	     -4.52
      2.36	     -1.61
     -3.86	     -3.12
      4.88	      3.16
     -0.66	     -6.97
     -6.96	      1.53
     -6.23	      4.89
     -2.64	      6.83
     -2.77	     -0.91
      6.72	      6.83
     -2.95	     -6.87
     -1.36	      1.69
      0.11	     -1.03
      1.96	     -3.58
      4.72	     -2.64
