x	y
     -5.59	     -6.16
      6.63	      4.02
     -4.78	      2.38
      0.74	      5.60
      6.41	      2.03
      2.95	      6.89
     -1.38	      5.58
      4.90	     -0.72
      0.75	      1.19
      2.71	      3.70
     -0.53	     -4.31
      2.84	     -1.15
     -3.87	     -2.95
      4.78	      3.26
     -0.86	     -6.74
     -6.99	      1.45
     -6.59	      4.67
     -3.14	      6.71
     -2.40	     -0.84
      6.28	      7.00
     -2.92	     -6.77
     -1.52	      2.49
      0.68	     -1.20
      1.83	     -3.98
      4.36	     -2.73
