x	y
     -6.94	     -6.48
      4.53	      4.67
     -3.44	     -1.12
     -0.67	      4.56
      6.03	      1.65
      2.05	      5.87
     -2.62	      3.56
      5.15	     -6.04
      1.50	     -0.41
      0.88	      2.45
      0.46	     -5.61
      6.92	     -1.28
     -4.79	     -6.44
      2.60	      3.75
     -0.50	     -0.49
     -6.04	     -1.44
     -6.92	      1.59
     -6.32	      4.93
     -5.17	      0.51
      6.66	      6.67
     -1.50	     -6.55
     -4.88	      3.10
     -1.87	     -3.52
      3.00	     -5.95
      1.86	     -3.18
