x	y
     -5.79	     -5.68
      6.72	      4.44
     -4.80	      3.42
      1.79	      5.17
      6.95	      2.38
      3.18	      6.89
     -0.49	      5.64
      4.96	     -0.32
      0.74	      1.38
      3.03	      3.47
     -0.52	     -4.70
      1.89	     -0.83
     -4.31	     -4.18
      4.96	      2.96
     -0.23	     -6.83
     -6.90	      1.65
     -6.11	      5.96
     -3.36	      6.08
     -3.60	     -1.11
      6.59	      6.55
     -3.10	     -6.97
     -1.56	      1.36
     -0.66	     -1.02
      1.87	     -4.23
      5.29	     -2.51
