x	y
     -5.35	     -5.61
      6.95	      3.12
     -4.37	      1.55
      1.21	      6.59
      6.78	      0.78
      3.69	      6.73
     -0.44	      5.06
      4.08	     -0.75
     -1.04	      1.51
      1.75	      4.11
     -0.06	     -4.66
      2.18	      0.01
     -2.77	     -3.69
      3.70	      1.67
      0.99	     -6.40
     -6.45	      1.64
     -6.71	      4.61
     -3.38	      5.78
     -6.97	     -2.97
      6.65	      6.17
     -3.24	     -5.73
     -2.27	      3.76
     -1.72	     -1.06
      2.03	     -3.07
      6.78	     -2.15
