x	y
     -5.92	     -5.70
      6.75	      4.51
     -4.82	      3.41
      1.79	      5.11
      6.98	      2.42
      3.14	      6.92
     -0.53	      5.66
      4.96	     -0.34
      0.74	      1.41
      2.99	      3.51
     -0.52	     -4.72
      1.93	     -0.89
     -4.28	     -4.10
      5.04	      2.95
     -0.27	     -6.81
     -6.90	      1.64
     -6.11	      5.86
     -3.31	      6.17
     -3.48	     -1.03
      6.64	      6.57
     -3.09	     -6.98
     -1.56	      1.29
     -0.62	     -0.99
      1.88	     -4.30
      5.24	     -2.52
