x	y
     -6.62	     -6.10
      4.00	      5.15
     -3.77	     -2.67
     -0.10	      6.39
      6.89	      2.56
      2.04	      6.02
     -4.60	      5.92
      6.32	     -4.53
      3.64	     -1.20
      0.18	      4.41
     -1.75	     -4.49
      6.94	     -2.57
     -5.36	     -4.07
      3.04	      2.58
      0.21	     -3.96
     -6.70	      0.83
     -6.00	      2.76
     -6.88	      6.55
     -3.42	      1.34
      6.85	      6.73
     -4.02	     -5.69
     -3.75	      3.61
     -1.22	     -2.33
      3.99	     -5.28
      3.23	     -3.15
