x	y
     -6.96	     -6.28
      5.17	      4.58
     -4.20	     -1.27
     -0.97	      4.23
      6.08	      1.29
      2.08	      6.03
     -2.65	      3.15
      5.85	     -5.60
      2.04	      0.04
      0.50	      2.42
      0.60	     -5.16
      6.89	     -0.55
     -4.61	     -6.67
      2.30	      3.99
     -0.71	     -0.50
     -6.36	     -0.96
     -6.79	      1.72
     -6.27	      4.59
     -4.99	      0.83
      6.84	      6.37
     -1.51	     -6.98
     -4.67	      3.30
     -1.72	     -3.29
      3.08	     -5.80
      1.72	     -3.16
