x	y
     -5.78	     -6.78
      6.87	      4.09
     -4.78	      2.99
      1.78	      5.93
      6.69	      1.40
      3.85	      6.67
     -0.25	      5.44
      5.00	     -0.05
      0.38	      1.80
      1.91	      3.21
     -0.57	     -4.34
      1.85	     -0.84
     -3.01	     -3.50
      4.55	      2.40
      0.29	     -6.84
     -6.83	      1.79
     -6.33	      6.58
     -3.66	      5.45
     -5.35	     -2.33
      5.86	      6.21
     -3.26	     -6.79
     -1.56	      2.31
     -1.28	     -1.39
      1.77	     -3.26
      5.93	     -2.35
