x	y
     -5.75	     -6.46
      6.68	      4.13
     -4.63	      3.53
      1.75	      5.62
      6.88	      1.91
      3.47	      6.71
     -0.24	      5.54
      4.98	     -0.18
      0.66	      1.40
      2.44	      3.33
     -0.55	     -4.51
      1.76	     -0.63
     -3.65	     -3.86
      4.84	      2.74
      0.04	     -6.99
     -6.86	      1.72
     -6.19	      6.73
     -3.71	      5.42
     -4.53	     -1.76
      6.17	      6.37
     -3.19	     -6.88
     -1.56	      1.86
     -0.99	     -1.22
      1.81	     -3.71
      5.63	     -2.43
