x	y
     -5.81	     -6.06
      6.96	      4.03
     -4.88	      2.43
      1.66	      6.16
      6.75	      1.10
      3.67	      6.83
     -0.26	      5.34
      4.77	     -0.11
     -0.06	      1.74
      1.82	      3.48
     -0.59	     -4.18
      1.95	     -0.83
     -2.42	     -3.39
      4.28	      2.06
      0.53	     -6.69
     -6.89	      1.82
     -6.46	      5.91
     -3.56	      5.56
     -6.14	     -2.88
      6.23	      5.93
     -3.30	     -6.48
     -1.80	      2.80
     -1.56	     -1.56
      1.70	     -3.03
      6.21	     -2.29
