x	y
     -6.09	     -5.73
      6.80	      4.60
     -4.85	      3.39
      1.71	      5.15
      6.98	      2.42
      3.09	      6.95
     -0.57	      5.68
      4.95	     -0.37
      0.73	      1.46
      3.03	      3.46
     -0.51	     -4.76
      1.98	     -0.98
     -4.23	     -3.98
      4.99	      2.98
     -0.32	     -6.78
     -6.91	      1.63
     -6.11	      5.72
     -3.23	      6.29
     -3.31	     -0.91
      6.72	      6.62
     -3.07	     -7.00
     -1.56	      1.19
     -0.55	     -0.95
      1.89	     -4.27
      5.18	     -2.53
