x	y
     -6.70	     -6.94
      3.99	      5.34
     -3.50	     -1.87
     -0.01	      5.32
      5.90	      2.53
      1.96	      5.63
     -2.38	      4.53
      5.48	     -6.86
      2.02	     -1.25
      0.56	      2.18
     -0.88	     -5.42
      6.47	     -3.06
     -5.11	     -4.84
      3.63	      3.37
      0.08	     -0.51
     -5.54	     -2.33
     -6.82	      1.53
     -6.54	      5.80
     -4.63	     -0.23
      5.74	      6.85
     -3.02	     -6.54
     -4.82	      2.96
     -2.21	     -3.91
      3.36	     -6.69
      2.21	     -3.43
