x	y
     -6.62	     -6.91
      4.27	      5.26
     -3.78	     -1.99
     -0.41	      5.49
      5.94	      2.79
      1.90	      5.76
     -2.40	      4.81
      5.81	     -6.46
      2.35	     -1.32
      0.60	      2.67
     -1.20	     -5.64
      6.32	     -3.63
     -5.02	     -5.32
      3.89	      3.19
      0.16	     -0.98
     -5.89	     -1.88
     -6.58	      1.43
     -6.61	      6.09
     -4.43	     -0.06
      5.80	      6.98
     -3.53	     -6.65
     -4.67	      3.01
     -2.31	     -3.97
      3.43	     -6.92
      2.34	     -3.76
