x	y
     -6.70	     -6.93
      3.98	      5.36
     -3.48	     -1.85
     -0.01	      5.31
      5.90	      2.51
      2.00	      5.62
     -2.38	      4.51
      5.46	     -6.88
      2.01	     -1.25
      0.55	      2.15
     -0.85	     -5.41
      6.47	     -3.02
     -5.11	     -4.81
      3.60	      3.38
      0.06	     -0.47
     -5.53	     -2.38
     -6.83	      1.54
     -6.53	      5.79
     -4.64	     -0.21
      5.74	      6.84
     -2.98	     -6.53
     -4.83	      2.95
     -2.19	     -3.91
      3.35	     -6.67
      2.20	     -3.40
