x	y
     -5.80	     -6.22
      6.99	      4.07
     -4.93	      2.53
      1.73	      6.13
      6.70	      1.14
      3.67	      6.78
     -0.26	      5.36
      4.86	     -0.06
      0.06	      1.77
      1.82	      3.40
     -0.58	     -4.22
      1.92	     -0.92
     -2.55	     -3.38
      4.34	      2.14
      0.47	     -6.72
     -6.80	      1.84
     -6.43	      6.06
     -3.59	      5.53
     -5.96	     -2.76
      6.16	      5.97
     -3.30	     -6.58
     -1.74	      2.69
     -1.50	     -1.52
      1.72	     -2.99
      6.15	     -2.30
