x	y
     -6.96	     -6.29
      5.14	      4.58
     -4.17	     -1.24
     -0.96	      4.25
      6.08	      1.30
      2.08	      6.02
     -2.66	      3.17
      5.81	     -5.62
      2.01	      0.02
      0.52	      2.42
      0.58	     -5.19
      6.89	     -0.58
     -4.62	     -6.71
      2.31	      3.99
     -0.70	     -0.50
     -6.34	     -0.98
     -6.79	      1.70
     -6.25	      4.60
     -5.01	      0.80
      6.87	      6.39
     -1.50	     -6.95
     -4.69	      3.30
     -1.73	     -3.30
      3.08	     -5.81
      1.73	     -3.16
