x	y
     -6.69	     -6.08
      4.06	      5.12
     -3.69	     -2.65
     -0.26	      6.41
      6.92	      2.50
      2.06	      5.95
     -4.51	      6.03
      6.23	     -4.47
      3.60	     -1.10
      0.17	      4.38
     -1.77	     -4.35
      6.92	     -2.48
     -5.34	     -4.07
      3.01	      2.55
      0.21	     -4.08
     -6.71	      0.84
     -5.97	      2.89
     -6.86	      6.59
     -3.36	      1.35
      6.89	      6.73
     -3.94	     -5.68
     -3.61	      3.56
     -1.08	     -2.23
      4.02	     -5.21
      3.26	     -3.11
