x	y
     -6.88	     -6.03
      4.23	      5.03
     -3.50	     -2.58
     -0.67	      6.47
      7.00	      2.32
      2.12	      5.79
     -4.26	      6.33
      5.99	     -4.31
      3.49	     -0.84
      0.12	      4.29
     -1.87	     -3.97
      6.55	     -2.22
     -5.30	     -4.07
      2.93	      2.49
      0.25	     -4.37
     -6.72	      0.88
     -5.88	      3.24
     -6.79	      6.69
     -3.21	      1.39
      6.98	      6.72
     -3.72	     -5.66
     -3.26	      3.44
     -0.71	     -2.33
      4.09	     -5.02
      3.33	     -3.00
