x	y
     -6.97	     -6.77
      4.83	      4.88
     -4.88	     -1.93
     -0.22	      6.33
      6.95	      3.23
      1.79	      6.22
     -3.66	      5.11
      6.56	     -6.87
      3.39	     -1.57
      0.64	      3.79
     -1.42	     -6.86
      6.03	     -3.42
     -5.49	     -4.67
      3.56	      2.95
      0.18	     -2.14
     -6.77	     -1.21
     -6.96	      1.81
     -6.79	      6.81
     -4.31	      0.77
      6.10	      6.74
     -3.51	     -5.89
     -4.28	      3.13
     -2.55	     -4.13
      3.62	     -6.33
      2.69	     -4.49
