x	y
     -5.72	     -5.96
      5.70	      4.30
     -4.16	      0.13
     -0.48	      6.97
      6.70	      1.00
      3.04	      5.30
     -3.28	      6.52
      6.12	     -2.17
      1.79	      0.26
      1.08	      4.43
     -0.75	     -3.79
      4.36	      0.13
     -4.66	     -3.68
      3.85	      2.48
      0.32	     -6.90
     -6.88	      1.20
     -6.21	      4.39
     -5.61	      6.70
     -1.95	      0.36
      5.92	      6.71
     -2.77	     -6.50
     -1.80	      3.04
      1.16	     -2.54
      2.37	     -4.23
      4.22	     -2.79
