x	y
     -6.45	     -6.00
      6.78	      4.50
     -4.93	      2.96
      1.15	      5.45
      6.63	      2.19
      2.65	      6.78
     -0.98	      5.79
      4.92	     -0.59
      0.86	      1.69
      2.25	      3.54
     -0.52	     -4.49
      2.43	     -1.54
     -3.82	     -3.03
      4.86	      3.19
     -0.70	     -6.93
     -6.96	      1.52
     -6.28	      4.86
     -2.70	      6.81
     -2.76	     -0.97
      6.66	      6.85
     -2.94	     -6.86
     -1.39	      1.80
      0.19	     -1.05
      1.94	     -3.64
      4.67	     -2.65
