x	y
     -5.80	     -6.25
      7.00	      4.07
     -4.92	      2.56
      1.74	      6.12
      6.69	      1.15
      3.67	      6.77
     -0.26	      5.37
      4.88	     -0.06
      0.08	      1.77
      1.82	      3.39
     -0.58	     -4.22
      1.91	     -0.94
     -2.58	     -3.38
      4.36	      2.15
      0.46	     -6.73
     -6.81	      1.83
     -6.42	      6.09
     -3.59	      5.53
     -5.92	     -2.73
      6.14	      5.98
     -3.30	     -6.60
     -1.73	      2.67
     -1.48	     -1.51
      1.73	     -2.98
      6.14	     -2.30
