x	y
     -6.74	     -6.85
      4.24	      5.39
     -3.31	     -1.67
     -0.10	      5.18
      5.92	      2.36
      1.98	      5.66
     -2.42	      4.35
      5.29	     -6.91
      1.94	     -1.24
      0.53	      1.89
     -0.53	     -5.46
      6.55	     -2.72
     -5.13	     -4.71
      3.41	      3.42
     -0.08	     -0.19
     -5.55	     -2.59
     -6.96	      1.59
     -6.49	      5.64
     -4.74	     -0.08
      5.72	      6.76
     -2.72	     -6.47
     -4.91	      2.93
     -2.15	     -3.91
      3.31	     -6.55
      2.13	     -3.23
