x	y
     -5.03	     -6.26
      7.00	      4.02
     -4.68	      2.01
      0.40	      5.81
      6.43	      1.67
      3.15	      6.67
     -1.64	      5.44
      5.12	     -0.77
      0.68	      0.86
      2.44	      3.82
     -0.54	     -4.20
      2.97	     -0.92
     -4.00	     -3.07
      4.75	      3.13
     -0.81	     -6.62
     -6.99	      1.41
     -6.79	      4.54
     -3.43	      6.65
     -2.06	     -0.58
      6.04	      6.90
     -3.06	     -6.72
     -1.60	      2.94
      0.91	     -1.31
      1.75	     -4.21
      4.17	     -2.77
