x	y
     -5.41	     -6.19
      6.75	      4.02
     -4.75	      2.26
      0.63	      5.67
      6.39	      1.93
      3.02	      6.82
     -1.47	      5.54
      4.90	     -0.75
      0.73	      1.08
      2.63	      3.74
     -0.53	     -4.27
      2.92	     -1.07
     -3.91	     -2.99
      4.79	      3.20
     -0.85	     -6.70
     -7.00	      1.44
     -6.65	      4.63
     -3.24	      6.69
     -2.29	     -0.76
      6.20	      6.97
     -2.96	     -6.75
     -1.54	      2.64
      0.79	     -1.23
      1.80	     -4.06
      4.30	     -2.74
