x	y
     -6.39	     -6.28
      4.34	      4.97
     -4.03	     -2.66
     -0.04	      6.85
      6.71	      2.97
      2.01	      6.61
     -4.94	      5.56
      6.75	     -5.37
      3.94	     -1.55
      0.36	      4.18
     -1.63	     -5.38
      6.21	     -2.67
     -5.71	     -4.13
      3.24	      2.72
      0.19	     -3.28
     -6.89	      0.10
     -6.13	      2.52
     -6.96	      6.48
     -3.76	      1.26
      6.57	      6.73
     -4.22	     -5.79
     -4.17	      3.52
     -2.05	     -2.95
      3.83	     -5.70
      3.03	     -3.65
