x	y
     -6.74	     -5.87
      5.86	      4.64
     -5.35	     -2.29
     -1.05	      4.22
      5.24	      1.38
      2.09	      6.74
     -2.12	      1.78
      6.39	     -4.70
      3.15	      0.99
     -0.15	      2.13
      0.69	     -4.98
      6.57	     -1.13
     -4.25	     -4.81
      1.71	      4.13
     -1.14	     -0.52
     -6.85	     -0.17
     -6.80	      2.31
     -6.92	      4.54
     -4.37	      1.15
      6.47	      6.76
     -1.83	     -5.96
     -4.71	      4.11
     -1.40	     -2.81
      2.92	     -5.48
      1.93	     -2.18
