x	y
     -5.74	     -6.13
      6.61	      4.08
     -4.81	      2.48
      0.83	      5.55
      6.45	      2.06
      2.90	      6.95
     -1.31	      5.62
      4.90	     -0.70
      0.77	      1.28
      2.71	      3.68
     -0.53	     -4.34
      2.77	     -1.22
     -3.83	     -2.91
      4.75	      3.29
     -0.88	     -6.78
     -6.99	      1.46
     -6.54	      4.70
     -3.07	      6.73
     -2.49	     -0.91
      6.35	      6.97
     -2.88	     -6.79
     -1.49	      2.37
      0.60	     -1.18
      1.85	     -3.92
      4.42	     -2.71
