x	y
     -6.61	     -6.47
      4.73	      4.78
     -4.49	     -2.55
     -0.11	      6.84
      6.60	      3.24
      1.93	      6.95
     -4.44	      5.30
      6.99	     -5.94
      4.02	     -1.72
      0.46	      4.03
     -1.55	     -5.94
      5.87	     -2.77
     -5.67	     -4.16
      3.36	      2.81
      0.19	     -2.85
     -6.97	     -0.40
     -6.47	      2.25
     -6.90	      6.75
     -3.97	      1.21
      6.39	      6.74
     -3.95	     -5.83
     -4.06	      3.33
     -2.24	     -3.40
      3.73	     -5.96
      2.90	     -3.97
