x	y
     -6.62	     -6.91
      4.26	      5.26
     -3.77	     -2.00
     -0.41	      5.48
      5.93	      2.79
      1.90	      5.76
     -2.39	      4.81
      5.80	     -6.47
      2.34	     -1.32
      0.60	      2.66
     -1.20	     -5.63
      6.32	     -3.62
     -5.02	     -5.31
      3.89	      3.20
      0.16	     -0.97
     -5.88	     -1.88
     -6.59	      1.43
     -6.61	      6.08
     -4.43	     -0.07
      5.80	      6.98
     -3.52	     -6.65
     -4.67	      3.01
     -2.31	     -3.97
      3.43	     -6.92
      2.34	     -3.75
