x	y
     -6.67	     -6.98
      4.07	      5.32
     -3.55	     -2.02
     -0.15	      5.36
      5.89	      2.61
      1.94	      5.66
     -2.36	      4.62
      5.58	     -6.75
      2.06	     -1.25
      0.57	      2.32
     -0.97	     -5.48
      6.42	     -3.22
     -5.08	     -4.97
      3.73	      3.32
      0.15	     -0.66
     -5.55	     -2.13
     -6.75	      1.51
     -6.56	      5.88
     -4.61	     -0.25
      5.76	      6.90
     -3.16	     -6.57
     -4.78	      2.97
     -2.31	     -3.82
      3.38	     -6.76
      2.24	     -3.52
