x	y
     -6.24	     -5.78
      5.01	      4.65
     -3.80	     -1.19
     -1.08	      6.45
      6.64	      1.49
      2.38	      5.03
     -4.52	      6.57
      6.13	     -3.11
      2.97	      0.22
      0.14	      4.41
     -1.48	     -4.00
      4.94	     -0.99
     -5.10	     -4.08
      3.15	      2.34
      0.42	     -5.71
     -6.81	      1.05
     -5.50	      4.83
     -6.61	      6.86
     -2.54	      0.87
      6.42	      6.71
     -3.06	     -5.93
     -1.90	      3.44
      1.55	     -2.52
      3.17	     -4.60
      3.68	     -2.61
