x	y
     -6.47	     -6.15
      3.93	      5.18
     -3.91	     -2.72
      0.04	      6.52
      6.83	      2.70
      2.10	      6.14
     -4.79	      5.70
      6.47	     -4.77
      3.74	     -1.31
      0.24	      4.34
     -1.71	     -4.78
      6.69	     -2.64
     -5.39	     -4.07
      3.11	      2.62
      0.20	     -3.74
     -6.75	      0.63
     -6.00	      2.68
     -6.93	      6.47
     -3.53	      1.31
      6.76	      6.73
     -4.18	     -5.70
     -4.00	      3.70
     -1.49	     -2.53
      3.94	     -5.41
      3.17	     -3.32
