x	y
     -5.82	     -5.64
      6.96	      3.76
     -4.75	      2.17
      1.48	      6.26
      6.89	      1.01
      3.68	      6.96
     -0.27	      5.28
      4.55	     -0.25
     -0.34	      1.67
      1.80	      3.66
     -0.28	     -4.23
      2.03	     -0.59
     -2.53	     -3.49
      4.12	      1.90
      0.66	     -6.61
     -6.89	      1.76
     -6.53	      5.53
     -3.51	      5.62
     -6.59	     -3.19
      6.35	      6.00
     -3.32	     -6.23
     -1.93	      3.08
     -1.61	     -1.43
      1.64	     -3.14
      6.38	     -2.25
