x	y
     -6.84	     -6.06
      5.64	      4.07
     -4.83	     -1.83
     -0.94	      4.10
      5.62	      2.04
      2.09	      6.42
     -2.37	      2.40
      6.82	     -5.10
      2.65	      0.57
      0.07	      2.38
      0.71	     -4.94
      6.82	     -0.87
     -4.41	     -5.65
      1.98	      4.07
     -0.95	     -0.51
     -6.80	     -0.52
     -6.80	      2.04
     -6.63	      4.56
     -4.64	      1.22
      6.54	      6.43
     -1.69	     -6.44
     -4.69	      3.53
     -1.55	     -3.03
      2.99	     -5.62
      1.77	     -2.74
