x	y
     -5.77	     -7.00
      6.82	      4.10
     -4.73	      3.17
      1.78	      5.84
      6.74	      1.55
      3.78	      6.67
     -0.25	      5.47
      5.00	     -0.08
      0.46	      1.68
      2.06	      3.25
     -0.56	     -4.39
      1.82	     -0.78
     -3.19	     -3.60
      4.63	      2.49
      0.22	     -6.88
     -6.84	      1.77
     -6.29	      6.78
     -3.69	      5.41
     -5.11	     -2.17
      5.91	      6.26
     -3.24	     -6.82
     -1.56	      2.18
     -1.20	     -1.34
      1.78	     -3.39
      5.84	     -2.37
