x	y
     -5.28	     -6.15
      6.31	      4.00
     -4.48	      1.29
     -0.20	      6.21
      6.56	      0.98
      3.53	      6.26
     -2.19	      5.73
      5.70	     -0.87
      0.52	      0.38
      1.93	      4.05
     -0.55	     -3.98
      3.49	     -0.45
     -4.25	     -3.30
      4.61	      2.94
     -0.07	     -6.31
     -6.95	      1.33
     -6.83	      4.30
     -4.04	      6.56
     -1.42	     -0.08
      5.57	      6.72
     -2.66	     -6.99
     -1.71	      3.22
      0.92	     -1.73
      1.61	     -4.64
      3.79	     -2.86
