x	y
     -5.73	     -5.91
      6.62	      4.23
     -4.74	      3.46
      1.78	      5.33
      6.97	      2.25
      3.28	      6.83
     -0.41	      5.61
      4.97	     -0.27
      0.77	      1.29
      2.82	      3.42
     -0.53	     -4.63
      1.79	     -0.66
     -4.13	     -4.12
      4.96	      2.94
     -0.14	     -6.89
     -6.88	      1.68
     -6.11	      6.23
     -3.52	      5.85
     -3.93	     -1.34
      6.44	      6.49
     -3.13	     -6.94
     -1.56	      1.53
     -0.78	     -1.09
      1.85	     -4.05
      5.41	     -2.48
