x	y
     -6.67	     -5.90
      4.62	      4.84
     -3.60	     -1.93
     -1.63	      6.59
      6.82	      1.90
      2.25	      5.40
     -3.70	      6.99
      6.05	     -3.71
      3.23	     -0.24
      0.01	      4.12
     -1.89	     -4.12
      5.69	     -1.64
     -5.20	     -4.08
      2.95	      2.35
      0.34	     -5.05
     -6.77	      0.96
     -5.69	      4.05
     -6.64	      6.92
     -2.88	      1.15
      6.70	      6.72
     -3.22	     -5.61
     -2.46	      3.46
      0.50	     -2.43
      3.64	     -4.83
      3.48	     -2.73
