x	y
     -5.34	     -5.54
      6.95	      3.19
     -4.43	      1.61
      1.23	      6.56
      6.82	      0.80
      3.69	      6.76
     -0.42	      5.08
      4.10	     -0.69
     -0.96	      1.53
      1.76	      4.06
     -0.06	     -4.60
      2.19	     -0.06
     -2.77	     -3.75
      3.74	      1.69
      0.95	     -6.42
     -6.48	      1.65
     -6.69	      4.71
     -3.40	      5.76
     -6.96	     -3.07
      6.62	      6.15
     -3.34	     -5.70
     -2.23	      3.69
     -1.70	     -1.10
      1.97	     -3.09
      6.74	     -2.16
