x	y
     -6.50	     -6.37
      4.52	      4.88
     -4.25	     -2.61
     -0.07	      7.00
      6.66	      3.10
      1.97	      6.82
     -4.70	      5.43
      6.87	     -5.65
      4.03	     -1.66
      0.41	      4.11
     -1.59	     -5.64
      5.99	     -2.69
     -5.84	     -4.15
      3.30	      2.76
      0.19	     -3.08
     -6.96	     -0.14
     -6.30	      2.39
     -6.93	      6.61
     -3.86	      1.24
      6.48	      6.73
     -4.09	     -5.81
     -4.11	      3.43
     -2.14	     -3.17
      3.79	     -5.82
      2.97	     -3.80
