x	y
     -6.65	     -5.89
      4.65	      4.82
     -3.61	     -1.88
     -1.69	      6.60
      6.81	      1.87
      2.26	      5.38
     -3.66	      6.95
      6.05	     -3.67
      3.21	     -0.20
     -0.00	      4.14
     -1.86	     -4.12
      5.64	     -1.60
     -5.19	     -4.08
      2.97	      2.34
      0.34	     -5.09
     -6.77	      0.97
     -5.68	      4.09
     -6.63	      6.94
     -2.86	      1.13
      6.68	      6.72
     -3.21	     -5.63
     -2.41	      3.47
      0.57	     -2.44
      3.61	     -4.82
      3.49	     -2.71
