x	y
     -5.28	     -6.14
      6.30	      4.00
     -4.48	      1.27
     -0.21	      6.22
      6.57	      0.98
      3.54	      6.25
     -2.20	      5.74
      5.71	     -0.89
      0.54	      0.38
      1.91	      4.06
     -0.55	     -3.97
      3.51	     -0.44
     -4.26	     -3.31
      4.60	      2.93
     -0.04	     -6.30
     -6.94	      1.33
     -6.82	      4.30
     -4.06	      6.56
     -1.43	     -0.07
      5.56	      6.72
     -2.66	     -7.00
     -1.71	      3.21
      0.92	     -1.75
      1.60	     -4.65
      3.78	     -2.87
