x	y
     -7.00	     -6.37
      4.88	      4.62
     -3.91	     -1.10
     -0.83	      4.38
      6.06	      1.45
      2.07	      5.93
     -2.67	      3.34
      5.46	     -5.80
      1.79	     -0.17
      0.67	      2.43
      0.47	     -5.41
      6.97	     -0.88
     -4.69	     -6.92
      2.44	      3.91
     -0.61	     -0.50
     -6.18	     -1.13
     -6.84	      1.61
     -6.27	      4.73
     -5.12	      0.59
      6.93	      6.51
     -1.44	     -6.74
     -4.75	      3.22
     -1.79	     -3.40
      3.11	     -5.87
      1.79	     -3.17
