x	y
     -5.58	     -6.02
      5.88	      4.21
     -4.26	      0.48
     -0.39	      6.78
      6.93	      0.99
      3.21	      5.60
     -2.94	      6.28
      5.99	     -1.77
      1.40	      0.29
      1.34	      4.32
     -0.56	     -3.73
      4.08	      0.09
     -4.53	     -3.57
      4.10	      2.48
      0.28	     -6.77
     -6.90	      1.24
     -6.40	      4.27
     -5.13	      6.66
     -1.79	      0.23
      5.78	      6.70
     -2.69	     -6.66
     -1.77	      2.97
      0.95	     -2.41
      2.24	     -4.29
      3.77	     -2.96
