x	y
     -6.96	     -6.44
      4.64	      4.66
     -3.59	     -1.11
     -0.73	      4.50
      6.04	      1.58
      2.06	      5.89
     -2.64	      3.49
      5.15	     -5.96
      1.59	     -0.33
      0.81	      2.45
      0.38	     -5.60
      6.96	     -1.15
     -4.76	     -6.59
      2.55	      3.80
     -0.54	     -0.50
     -6.08	     -1.33
     -7.00	      1.60
     -6.30	      4.86
     -5.16	      0.53
      6.75	      6.62
     -1.39	     -6.57
     -4.84	      3.14
     -1.84	     -3.48
      3.14	     -5.92
      1.84	     -3.18
