x	y
     -6.99	     -5.90
      6.93	      4.76
     -5.02	      3.29
      1.26	      5.36
      6.77	      2.28
      2.81	      6.88
     -0.81	      5.78
      4.93	     -0.51
      0.67	      1.71
      2.42	      3.37
     -0.52	     -4.60
      2.24	     -1.42
     -3.97	     -3.38
      4.93	      3.10
     -0.56	     -6.95
     -6.94	      1.56
     -6.11	      5.01
     -2.82	      6.90
     -2.80	     -0.75
      6.89	      6.83
     -2.99	     -6.91
     -1.30	      1.37
     -0.12	     -0.96
      1.94	     -3.78
      4.86	     -2.61
